station_code	soil_code	locality	sexe	nivins	langues	perschar	nbract	actprin	actsec1	actsec2	actsec3	bovins	ovins	caprins	asins	porcins	volailles	charrue	daba_houe	charrette	pulve	rayon	semoir	tricyc	suptot	supasso	prctsasso	typass	pluvio4	pluvio5	pluvio6	pluvio7	pluvio8	pluvio9	pluvio10	dismai	Argil	limon	sable	granuloc	tysopa	pHeau	MO	Nto	Kto	Pto	precul2014	precul2015	precul2016	typrot	varsorgh	varnieb	pracul	modsem	FO_Qte	FO_date	denpoq	datesem	freqsar	NPK_date	NPK_qte	uree_date	uree_qte	rdtsor	rdtnieb
BU_SER	BU_SER_11	Sera	1	0	1	15	10	1	2	0	0	1	0	12	1	0	30	0	6	1	0	0	0	0	NA	NA	NA	NA	0	156	118.5	162.5	177.5	180.5	18.5	25	23.7	30.5	45.9	2	5	6.9	0.8	0.4	1108	156	3	3	3	5	14	1	2	1	2	82	NA	50	2	0	0	0	0	506.25	284.38
BU_SER	BU_SER_12	Sera	1	0	1	17	7	1	2	4	0	2	4	4	1	0	0	2	6	1	0	0	0	0	5	3	60	1	0	156	118.5	162.5	177.5	180.5	18.5	200	26.4	27.6	46	2	5	5.9	0.8	0.4	552	92	1	4	3	7	14	1	6	2	2	44	27778	39	2	0	0	0	0	321.88	218.75
BU_SER	BU_SER_13	Sera	1	1	2	35	15	1	4	2	0	0	2	2	1	0	2	1	9	1	0	0	0	0	NA	NA	NA	NA	0	156	118.5	162.5	177.5	180.5	18.5	150	17.1	27.4	55.5	5	7	6.8	1.1	0.6	1241	165	3	3	2	2	16	1	6	2	2	43	27778	44	2	22	93.8	0	0	115.63	446.88
BU_SER	BU_SER_14	Sera	1	1	2	5	3	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	50	1	0	156	118.5	162.5	177.5	180.5	18.5	10	12.3	20.2	67.5	5	4	7.3	1.5	1	1933	239	3	3	3	5	16	1	6	2	2	1	27778	15	3	0	0	0	0	221.88	318.75
BU_SER	BU_SER_15	Sera	2	0	1	7	4	1	2	3	0	1	3	4	3	0	0	1	4	1	0	0	0	0	2.5	1	40	1	0	156	118.5	162.5	177.5	180.5	18.5	300	7.7	36.2	56.1	5	6	5.6	1	0.6	830	221	3	3	3	5	14	1	6	2	6	10	27778	56	2	12	93.8	0	0	140.63	256.25
BU_ST	BU_ST_01	Boussouma	1	0	2	11	5	1	2	4	0	0	3	2	2	0	5	1	4	1	0	1	0	0	3	2	66.7	1	0	156	118.5	162.5	177.5	180.5	18.5	1000	6.7	6.7	86.6	7	5	6.1	0.5	0.2	277	55	3	3	3	5	11	1	6	2	3	25	27778	39	3	15	156.3	0	0	978.13	478.13
BU_ST	BU_ST_02	Boussouma	1	1	2	14	5	1	2	0	0	1	2	3	1	0	7	1	4	1	0	0	0	0	2.5	2	80	1	0	156	118.5	162.5	177.5	180.5	18.5	1200	10	13.4	76.6	5	5	5.8	0.4	0.2	277	92	3	3	3	5	15	1	3	2	3	28	31250	15	3	16	281.3	72	62.5	500	250
BU_ST	BU_ST_03	Boussouma	1	0	1	9	8	1	2	4	0	0	0	20	3	0	10	1	5	1	1	1	0	0	3	2	66.7	1	0	156	118.5	162.5	177.5	180.5	18.5	2300	3.4	16.7	79.9	7	5	4.9	0.3	0.2	277	55	3	3	3	5	14	1	6	2	2	41	27778	37	2	0	0	64	62.5	228.13	162.5
BU_ST	BU_ST_04	Boussouma	1	0	1	20	13	1	2	4	0	2	3	2	2	0	50	1	6	1	1	1	0	0	4	2	50	1	0	156	118.5	162.5	177.5	180.5	18.5	2000	8.8	20.1	71.1	5	5	5.2	0.5	0.2	551	NA	3	3	3	5	6	1	6	2	3	36	27778	31	3	16	187.5	0	0	740.63	106.25
BU_ST	BU_ST_05	Boussouma	2	0	1	7	3	1	2	0	0	0	0	2	0	0	0	1	4	0	0	0	0	0	2	1.5	75	1	0	156	118.5	162.5	177.5	180.5	18.5	2000	6.7	20.1	73.2	5	5	5.1	0.6	0.3	415	NA	3	3	3	5	3	1	2	2	2	22	27778	17	3	0	125	88	31.3	540.63	193.75
